Area,Timestamp,Lat,Lon,Temperature,D.O,pH,Conductivity,B.O.D,Nitrate,Fecalcaliform,Totalcaliform,class
Howrah Ghat,2023-01-01,18.104543,74.208669,23.7833333,4.08083333,8.28583333,1587.96667,8.725,0.50666667,198.333333,1383.33333,no
Howrah Ghat,2023-01-02,10.000969,76.378781,26.6666667,1.45833333,6.625,191.666667,3.56666667,0.92083333,880.833333,2978.33333,yes
Howrah Ghat,2023-01-03,27.4149096,95.9991228,22.0,7.1,7.025,182,1.775,0.13,90,500.5,yes
Howrah Ghat,2023-01-04,31.0696572,77.8199313,11.33,9.39091,7.45,68.2545,0.49091,0.12327,4,10.0,yes
Howrah Ghat,2023-01-05,23.18866,75.764912,27.3333,6.125,8.21417,1015.42,13.65,1.6045,,,no
Howrah Ghat,2023-01-06,15.286089,74.07692,28.6666667,6.8,6.46666667,43.1733333,1.13333333,0.42333333,7.66666667,178.333333,no
Howrah Ghat,2023-01-07,30.517983,77.948925,18.7857,8.32857,7.75286,171.443,0.9,0.05714,275,1255.0,yes
Howrah Ghat,2023-01-08,21.0076578,75.5626039,31.125,6.4625,7.6375,561.125,3.675,2.279375,35,95.8333333,yes
Howrah Ghat,2023-01-09,26.8466937,80.9461659,27.8333,7.92,7.851,355.13,3.59,1.71,1560,2950.0,yes
Howrah Ghat,2023-01-10,28.072384,75.82289,30.4,7.4,7.4,3850,0.28,4,14,1.28,yes
Howrah Ghat,2023-01-11,31.381038,76.381092,20.0,8.0,8.0,272,2.7,1.9,305,703.0,yes
Howrah Ghat,2023-01-12,18.939821,72.835468,20.75,5.055,7.97,639.416667,6.77083333,1.6515,62.3333333,181.666667,yes
Howrah Ghat,2023-01-13,18.000114,79.609852,27.0,7.1,7.1,2749,63.6,32,240,1.51,yes
Howrah Ghat,2023-01-14,,,23.0,7.5,7.5,658,0.22,,8,0.12,yes
Howrah Ghat,2023-01-15,18.784141,73.354198,26.9166667,6.675,7.45833333,120.42,3.59166667,0.73298333,84.8333333,225.833333,yes
Howrah Ghat,2023-01-16,11.504776,77.238394,27.4166667,6.65833333,7.88833333,237,0.94666667,0.1645,140.833333,277.5,yes
Howrah Ghat,2023-01-17,24.6552948,72.9259012,23.8636,5.33636,7.75727,538.182,2.47709,0.32982,4.36364,12.2727,yes
Howrah Ghat,2023-01-18,21.340137,72.755392,29.0,7.8,7.8,8406,0.04,3,3,0.17,yes
Howrah Ghat,2023-01-19,14.4425987,79.9864559,29.0,7.8,7.8,889,0.7,2,800,0.62,yes
Howrah Ghat,2023-01-20,9.32341,76.451728,26.75,6.55,6.9,70,0.9,0.49,222.5,495.0,yes
Howrah Ghat,2023-01-21,17.2472528,80.1514446,20.0,5.525,7.72416667,331.416667,0.625,0.26416667,4.16666667,1200.0,yes
Howrah Ghat,2023-01-22,16.578008,76.733652,31.75,7.43333333,,2,0.08,800,1600,,no
Howrah Ghat,2023-01-23,27.5863838,77.7004931,13.0,2.1,6.85,,14.4,1.38,21000,70000.0,yes
Howrah Ghat,2023-01-24,25.4358011,81.846311,26.65,6.53333,7.87167,610.25,2.45833,1.3275,1450,2833.33,yes
