Area,Timestamp,Lat,Lon,Temperature,D.O,pH,Conductivity,B.O.D,Nitrate,Fecalcaliform,Totalcaliform,class,chemical_score,biological_score,physical_score,source_score,WQS,Water_Class
Howrah Ghat,2023-01-01,18.104543,74.208669,23.7833333,4.08083333,8.28583333,1587.96667,8.725,0.50666667,198.333333,1383.33333,no,72.08166663066666,82.00964423645233,60.76041667499999,80,73.58764325820236,Moderate
Howrah Ghat,2023-01-02,10.000969,76.378781,26.6666667,1.45833333,6.625,191.666667,3.56666667,0.92083333,880.833333,2978.33333,yes,92.591111106,41.44374033751724,54.47916665,80,68.36539987365518,Moderate
Howrah Ghat,2023-01-03,27.4149096,95.9991228,22.0,7.1,7.025,182.0,1.775,0.13,90.0,500.5,yes,95.70933333333333,91.39311852712282,85.3125,80,90.76416889147018,Safe
Howrah Ghat,2023-01-04,31.0696572,77.8199313,11.33,9.39091,7.45,68.2545,0.49091,0.12327,4.0,10.0,yes,98.56429233333333,99.60079893439915,93.57955,80,96.02186661365309,Safe
Howrah Ghat,2023-01-05,23.18866,75.764912,27.3333,6.125,8.21417,1015.42,13.65,1.6045,193767.1311595211,576037.4703817832,no,70.3622,7.046998242674918e-83,71.518725,80,50.448625,Polluted
Howrah Ghat,2023-01-06,15.286089,74.07692,28.6666667,6.8,6.46666667,43.1733333,1.13333333,0.42333333,7.66666667,178.333333,no,97.71848889633333,99.23626472577067,80.000000025,80,92.85827498126453,Safe
Howrah Ghat,2023-01-07,30.517983,77.948925,18.7857,8.32857,7.75286,171.443,0.9,0.05714,275.0,1255.0,yes,97.039858,75.95721232249684,85.9964,80,86.80238689674906,Safe
Howrah Ghat,2023-01-08,21.0076578,75.5626039,31.125,6.4625,7.6375,561.125,3.675,2.279375,35.0,95.8333333,yes,87.66525,96.56054162575664,77.53125,80,87.540512487727,Safe
Howrah Ghat,2023-01-09,26.8466937,80.9461659,27.8333,7.92,7.851,355.13,3.59,1.71,1560.0,2950.0,yes,90.29403333333333,21.01360712007647,83.2175,80,67.06519546935627,Moderate
Howrah Ghat,2023-01-11,31.381038,76.381092,20.0,8.0,8.0,272.0,2.7,1.9,305.0,703.0,yes,92.16,73.71233743916278,82.5,80,83.47770123174882,Safe
Howrah Ghat,2023-01-12,18.939821,72.835468,20.75,5.055,7.97,639.416667,6.77083333,1.6515,62.3333333,181.666667,yes,83.25685555666666,93.95696447367256,68.0,80,83.08983156476845,Safe
Howrah Ghat,2023-01-15,18.784141,73.354198,26.9166667,6.675,7.45833333,120.42,3.59166667,0.73298333,84.8333333,225.833333,yes,93.42052444266666,91.8665382570637,79.93750002499999,80,88.91567125918577,Safe
Howrah Ghat,2023-01-16,11.504776,77.238394,27.4166667,6.65833333,7.88833333,237.0,0.94666667,0.1645,140.833333,277.5,yes,96.23617777333334,86.86340722688506,76.629166675,80,87.87932661239886,Safe
Howrah Ghat,2023-01-17,24.6552948,72.9259012,23.8636,5.33636,7.75727,538.182,2.47709,0.32982,4.36364,12.2727,yes,91.05153733333333,99.56458668438498,71.002275,80,88.49044593864883,Safe
Howrah Ghat,2023-01-19,14.4425987,79.9864559,29.0,7.8,7.8,889.0,0.7,2.0,800.0,0.62,yes,88.57666666666667,44.93289641172215,83.0,80,73.51053559018331,Moderate
Howrah Ghat,2023-01-20,9.32341,76.451728,26.75,6.55,6.9,70.0,0.9,0.49,222.5,495.0,yes,97.708,80.05150067502288,82.0,80,87.49865020250687,Safe
Howrah Ghat,2023-01-21,17.2472528,80.1514446,20.0,5.525,7.72416667,331.416667,0.625,0.26416667,4.16666667,1200.0,yes,95.64116666066667,99.58420018417905,72.193749975,80,90.5704767145204,Safe
Howrah Ghat,2023-01-24,25.4358011,81.846311,26.65,6.53333,7.87167,610.25,2.45833,1.3275,1450.0,2833.33,yes,89.55772666666667,23.45702880937976,76.129125,80,66.08602430948059,Moderate
Howrah Ghat,2023-01-26,31.940009,75.247906,15.0,8.0,8.0,177.0,0.5,0.6,66.0,662.0,yes,97.08333333333333,93.61308642916188,82.5,80,91.4172592620819,Safe
Howrah Ghat,2023-01-27,26.3215985,90.9820667,25.25,6.875,7.175,293.0,2.2,0.13,90.0,530.25,yes,94.03266666666667,91.39311852712282,83.0625,80,89.64350222480351,Safe
Howrah Ghat,2023-01-28,32.597574,75.985873,10.0,9.0,8.0,137.0,0.4,0.3,4.0,47.0,yes,97.85666666666667,99.60079893439915,87.5,80,94.52290634698642,Safe
Howrah Ghat,2023-01-29,26.8725184,80.9834952,23.6875,8.3625,8.16625,356.75,2.9,1.71167,7500.0,22000.0,no,91.19649733333333,0.05530843701478336,83.065625,80,61.10831646443776,Moderate
Howrah Ghat,2023-01-30,15.4785694,78.4830934,27.0,7.6,7.6,1397.0,2.3,6.0,23.0,1.64,yes,78.16333333333333,97.7262483773277,83.5,80,85.28320784653164,Safe
Howrah Ghat,2023-01-31,18.567826,73.811507,25.75,2.03916667,7.76666667,444.908333,13.45,0.6925,264.166667,1750.0,yes,77.06358333666667,76.78455544765215,54.445833325,80,72.74996663396232,Moderate
Howrah Ghat,2023-02-01,15.828126,78.037279,26.6,6.33333333,7.532,725.7,3.04,1.44,184.0,1440.0,yes,87.53766666666667,83.19358038266718,77.67666665,80,83.50847411146682,Safe
Howrah Ghat,2023-02-02,26.458264,74.6362,23.0,7.5,7.5,1225.0,1.12,4.0,27.0,1.16,yes,83.05666666666667,97.33612415243368,83.75,80,87.17350391239677,Safe
Howrah Ghat,2023-02-05,20.9951897,84.288444,28.1666667,7.43333333,7.78,177.341667,1.75,0.59043725,525.0,1069.16667,yes,95.42090019666666,59.15553643668151,81.31666665,80,80.17835433967113,Safe
Howrah Ghat,2023-02-06,22.9720145,86.0079806,26.6818182,7.85454545,7.57272727,165.7,0.6,4.79818182,193767.1311595211,576037.4703817832,yes,93.704454544,7.046998242674918e-83,84.977272725,80,62.4772363626,Moderate
Howrah Ghat,2023-02-07,21.24850768681818,78.72098095669318,25.5,7.7,7.7,1683.0,1.77,3.0,80.0,576037.4703817832,yes,78.41,92.31163463866358,83.25,80,83.70749039159908,Safe
Howrah Ghat,2023-02-08,22.8491137,69.329472,27.6666667,7.38,7.97666667,358.666667,1.89333333,0.21666667,676.666667,1510.0,yes,93.715555554,50.83085331727584,79.574999975,80,76.65047821178275,Safe
Howrah Ghat,2023-02-09,20.462521,85.882989,27.25,7.45833333,7.99833333,210.125,2.175,0.47590379,2845.83333,5017.5,yes,94.618026968,5.808584189106114,79.80416667499999,80,63.55061937893183,Moderate
Howrah Ghat,2023-02-10,22.2375766,84.8033401,26.3333333,6.35,7.40583333,296.3,4.70833333,4.1453725,8891.66667,18450.0,yes,87.44292422666666,0.01375302493197889,78.706250025,80,58.72254560314626,Moderate
Howrah Ghat,2023-02-13,15.874074,74.387394,24.0,8.1,8.1,1488.0,4.11,4.0,70.0,576037.4703817832,no,76.44,93.23938199059482,82.25,80,82.99781459717845,Safe
Howrah Ghat,2023-02-14,31.960582,77.114009,10.0,9.0,8.0,114.0,0.2,0.3,130.0,990.0,yes,98.35333333333334,87.80954309205613,87.5,80,91.18419626095017,Safe
Howrah Ghat,2023-02-15,31.881756,76.214645,19.0,8.0,8.0,280.0,0.7,1.1,10.0,157.0,yes,95.38666666666667,99.0049833749168,82.5,80,92.3561616791417,Safe
Howrah Ghat,2023-02-16,10.057906,76.346362,27.3333333,6.76666667,6.93333333,994.75,1.05,0.24,348.5,1258.33333,yes,88.4605,70.57459150239282,83.333333325,80,81.22324411571785,Safe
Howrah Ghat,2023-02-17,33.731125,75.148701,13.0,8.0,8.0,240.0,2.0,1.0,193767.1311595211,576037.4703817832,yes,94.13333333333333,7.046998242674918e-83,82.5,80,62.15333333333333,Moderate
Howrah Ghat,2023-02-18,14.004254,75.673909,27.25,7.225,7.45,255.0,2.225,1.233333333,47.5,217.5,yes,93.49666666693334,95.36104731326263,82.75,80,90.55698086075212,Safe
Howrah Ghat,2023-02-20,18.606902,73.799263,25.75,1.8,7.6325,519.891667,14.75,0.84583333,345.833333,1725.0,yes,74.45774999933334,70.76304159173378,54.25624999999999,80,69.86326247725347,Moderate
Howrah Ghat,2023-02-21,10.546151,76.178708,28.375,4.45,6.45,76.75,1.05,0.34,400.0,2675.0,no,97.5605,67.03200460356393,68.125,80,80.75880138106919,Safe
Howrah Ghat,2023-02-22,27.0514156,79.913673,25.5833,6.63333,7.8975,405.8,6.99167,3.72183,3566.67,20841.7,yes,83.64230933333333,2.824976895520347,76.43539999999999,80,57.59149680198944,Moderate
Howrah Ghat,2023-02-23,18.953437,72.841544,19.0,5.87,7.78833333,620.916667,5.30833333,1.3125,49.25,121.416667,yes,85.66305555666666,95.1943114169261,73.43750002499999,80,85.51101565274449,Safe
Howrah Ghat,2023-02-24,32.026795,77.351106,8.0,9.0,8.0,62.0,0.2,0.3,43.0,353.0,yes,98.87333333333333,95.79113900670306,87.5,80,93.78667503534426,Safe
Howrah Ghat,2023-02-25,26.798026,75.770665,30.5,8.1,8.1,1390.0,0.74,4.0,6.0,0.63,no,81.91333333333333,99.40179640539353,82.25,80,87.03587225495139,Safe
Howrah Ghat,2023-02-27,22.057437,78.938172,22.5,7.8,7.543,495.3,1.94,0.9868,193767.1311595211,100.2,yes,91.67089333333334,7.046998242674918e-83,84.9275,80,61.65385733333333,Moderate
Howrah Ghat,2023-02-28,25.653498,93.345482,22.0,7.0,7.0,284.0,2.0,4.0,12975.0,23625.0,yes,91.29333333333334,0.0002317549918343691,85.0,80,61.51740285983088,Moderate
Howrah Ghat,2023-03-03,31.931129,75.894059,15.0,8.0,8.0,285.0,0.0,0.8,3.0,50.0,yes,96.51,99.7004495503373,82.5,80,93.0141348651012,Safe
Howrah Ghat,2023-03-04,8.7791961,77.425014,25.1666667,7.16666667,7.66233333,86.8333333,1.13333333,0.14083333,48.5833333,113.333333,yes,97.50788889633333,95.25779545337247,80.865833375,80,91.75366086954509,Safe
Howrah Ghat,2023-03-06,20.373265,72.910824,27.0,4.33333333,8.42666667,605.0,6.45,1.677,5.0,15.0,no,84.0084,99.50124791926824,60.96666662500001,80,83.64706770078047,Safe
Howrah Ghat,2023-03-07,26.7709618,83.3909575,15.0,3.8,7.32,193.0,11.8,1.38,37000.0,38000.0,yes,81.23266666666666,8.533047625744065e-15,66.6,80,53.81306666666666,Polluted
Howrah Ghat,2023-03-10,27.1981016,75.881486,31.0,8.1,8.1,735.0,1.01,3.0,7.0,0.5,no,88.90333333333334,99.3024442933235,82.25,80,89.80206662133038,Safe
Howrah Ghat,2023-03-11,21.5455841,74.4683333,29.37,6.09,7.545,539.8,5.11,2.84084,22.3333333,69.0,yes,85.51599466666667,97.79142093460985,76.3625,80,86.81632414704961,Safe
Howrah Ghat,2023-03-12,30.2617154,78.0338077,24.55,3.9,7.5075,733.417,23.0333,0.7,145000.0,112033.0,yes,61.39476333333333,1.064878660241506e-61,65.69375,80,45.69665533333333,Polluted
Howrah Ghat,2023-03-13,22.057437,78.938172,21.6363636,6.06454545,7.99909091,562.0,5.30909091,1.91581818,65.8181818,193.636364,yes,85.768557576,93.6301085394507,72.829545425,80,84.96236467723521,Safe
Howrah Ghat,2023-03-14,19.164103,72.939128,20.7,5.34166667,7.98416667,456.933333,5.325,0.605,205.0,1393.75,yes,87.84666667,81.46473164114146,69.327083325,80,81.44350282534243,Safe
Howrah Ghat,2023-03-15,13.998209,77.572959,25.8,6.77454545,7.22545455,171.454545,1.0,0.09454545,761.818182,1600.0,yes,96.87648485666666,46.68168968645553,82.181818125,80,77.19146447360333,Safe
Howrah Ghat,2023-03-16,27.4728327,94.911962,22.0,5.775,7.3,178.0,2.925,0.16,120.0,1066.667,yes,94.19200000000001,88.69204367171575,76.625,80,87.60941310151473,Safe
Howrah Ghat,2023-03-17,11.4225542,79.7748374,31.8333333,7.75,8.12833333,1072.75,1.64666667,0.15833333,148.333333,288.333333,no,86.950277776,86.21436860986292,80.287500025,80,84.70192169835889,Safe
Howrah Ghat,2023-03-18,22.0571189,84.6897495,28.9166667,7.39166667,7.90416667,144.266667,1.53333333,0.39437738,624.0,2352.5,yes,96.197386986,53.57969576674561,80.17708332499998,80,78.58828018942368,Safe
Howrah Ghat,2023-03-20,21.5601714,81.8743365,28.8571429,6.9375,7.875,235.875,1.6,1.7295,193767.1311595211,15.75,yes,94.12431666666667,7.046998242674918e-83,78.125,80,61.27472666666667,Moderate
Howrah Ghat,2023-03-22,16.748041,74.590887,23.0,8.0,8.0,1507.0,1.44,3.0,45.0,576037.4703817832,yes,80.61,95.59974818331,82.5,80,85.423924454993,Safe
Howrah Ghat,2023-03-23,27.5300397,94.2652147,20.75,8.925,7.025,104.0,1.675,0.11,193767.1311595211,90.5,yes,96.63866666666667,7.046998242674918e-83,94.4375,80,65.54296666666667,Moderate
Howrah Ghat,2023-03-25,11.272018,75.97644,24.6666667,7.10833333,7.14166667,64.3333333,0.61666667,0.39833333,282.5,645.833333,yes,98.21577777633334,75.38966419593208,84.479166625,80,86.79904369431297,Safe
Howrah Ghat,2023-03-26,20.6524526,85.6030439,25.4166667,7.55833333,7.925,149.45,1.66666667,0.68155842,5866.66667,10816.6667,yes,95.73803103733333,0.2832298602423701,80.85416665,80,62.55101470300605,Moderate
Howrah Ghat,2023-03-28,25.2401294,86.7404394,24.5714,7.81429,7.92857,363.429,2.71429,1.71167,1942.86,3371.43,yes,91.37732066666666,14.32935436418594,82.107175,80,65.27116957592244,Moderate
Howrah Ghat,2023-03-29,27.5682014,76.6057707,29.0,7.6,7.6,860.0,0.32,4.0,5.0,1.13,yes,87.77333333333334,99.50124791926824,83.5,80,89.65970770911382,Safe
Howrah Ghat,2023-03-30,30.445283,77.602057,25.0,7.4,7.4,595.0,0.72,6.0,11.0,0.03,yes,88.29,98.90602787753687,84.0,80,89.78780836326106,Safe
Howrah Ghat,2023-04-01,27.1937377,83.1747783,23.5,7.69167,8.16417,370.417,2.76667,0.39167,75.0,198.333,no,92.29360066666666,92.77434863285528,79.727075,80,88.69515985652325,Safe
Howrah Ghat,2023-04-02,24.2182429,83.0346073,26.175,7.575,7.74333,177.917,1.39167,0.82417,1100.0,1800.0,yes,95.705934,33.28710836980795,82.300025,80,72.72851111094238,Moderate
Howrah Ghat,2023-04-03,19.8761653,75.3433139,28.3636364,6.30909091,8.1,969.954545,4.76363636,1.35024545,2.63636364,85.4545455,no,82.86874304333332,99.73671085146634,73.29545455,80,85.72760138277323,Safe
Howrah Ghat,2023-04-05,8.491478,76.961235,28.0416667,0.78333333,7.06666667,1239.16667,11.9083333,1.87091667,4250.0,11000.0,yes,70.23382223066666,1.426423390899926,53.416666625,80,47.20478923453664,Polluted
Howrah Ghat,2023-04-06,26.539345,80.48782,24.88953091982379,7.5,7.5,989.0,3.77,2.0,2.0,1.6,yes,83.48333333333333,99.80019986673331,83.75,80,88.08339329335332,Safe
Howrah Ghat,2023-04-08,22.339252,73.015677,25.0,7.8,8.3,517.0,1.0,0.36,4.0,21.0,no,93.20866666666667,99.60079893439915,79.25,80,91.01370634698642,Safe
Howrah Ghat,2023-04-09,17.2472528,80.1514446,20.0,5.725,7.5875,343.833333,0.65416667,0.2705,4.5,1308.33333,yes,95.47304444333334,99.55101098295705,74.21875,80,90.89827107222044,Safe
Howrah Ghat,2023-04-13,26.1337646,85.3876454,24.6667,7.6,8.04667,480.333,2.7,1.38,1033.33,2500.0,no,90.49267,35.58201046023805,80.149975,80,70.90166613807142,Moderate
Howrah Ghat,2023-04-14,25.0746938,73.8860099,25.0,6.0,8.0,571.0,1.0,1.0,5.0,44.0,yes,92.15666666666667,99.50124791926824,72.5,80,89.21304104244714,Safe
Howrah Ghat,2023-04-15,11.7862533,77.8007853,27.9166667,6.50833333,8.1,416.583333,1.5175,0.19825,165.833333,334.166667,no,93.65223333666667,84.71874206093449,74.29166665,80,85.73484928294701,Safe
