Area,Timestamp,Lat,Lon,Temperature,D.O,pH,Conductivity,B.O.D,Nitrate,Fecalcaliform,Totalcaliform,class,chemical_score,biological_score,physical_score,source_score,WQS,Water_Class
Babughat,2023-11-14,30.900965,75.857276,22.0,4.0,7.0,388.0,22.0,12.0,29000.0,64000.0,yes,57.18666666666667,2.5436656473769228e-11,70.0,75,44.3746666666743,Polluted
Bally Bridge,2023-06-04,22.557717,22.557717,31.5,7.6,7.6,1854.0,0.09,2.0,4.0,0.34,yes,79.74000000000001,99.60079893439917,83.5,74,85.87623968031976,Safe
Howrah Ghat,2023-02-02,26.458264,74.6362,23.0,7.5,7.5,1225.0,1.12,4.0,27.0,1.16,yes,83.05666666666667,97.33612415243368,83.75,80,87.17350391239677,Safe
Howrah Ghat,2023-04-26,23.4258568,87.2854565,27.0454545,8.01818182,7.13909091,150.636364,3.51363636,0.14463636,800.0,2443.0,yes,93.693078792,44.93289641172215,89.047727275,80,76.76664589531664,Safe
Howrah Ghat,2023-01-12,18.939821,72.835468,20.75,5.055,7.97,639.416667,6.77083333,1.6515,62.3333333,181.666667,yes,83.25685555666666,93.95696447367256,68.0,80,83.08983156476845,Safe
Bally Bridge,2023-06-16,21.24850768681818,78.72098095669318,20.0,7.6,7.6,529.0,2.52,4.0,26.0,0.74,yes,88.15,97.43350896087492,83.5,74,88.59005268826249,Safe
Babughat,2023-04-30,8.7170199,77.831725,29.375,6.60833333,6.95208333,341.727273,1.31666667,0.11083333,51.8333333,103.333333,yes,94.738505046,94.9487101538202,82.682291625,75,90.41647338954606,Safe
Dakshineswar,2023-10-06,19.813382,85.831465,27.0,7.7,7.7,1396.0,11.84,17.0,33.0,0.13,yes,56.65333333333333,96.7538559589032,83.25,78,76.13749012100429,Safe
Babughat,2023-01-22,19.8761653,75.3433139,27.3333333,6.81666667,7.95833333,573.583333,4.66666667,1.10099167,2.58333333,86.1666667,yes,87.16115110733332,99.74200006040414,76.895833375,75,87.66622713605457,Safe
Dakshineswar,2023-04-23,24.076836,75.069295,26.5833333,7.325,7.55833333,422.75,2.5,0.9295,193767.1311595211,576037.4703817832,yes,91.69556666666666,7.046998242674918e-83,82.43750002499999,78,60.96572667166666,Moderate
Howrah Ghat,2023-06-15,21.24850768681818,78.72098095669318,20.0,7.0,7.0,888.0,1.02,7.0,10.0,0.21,yes,84.16,99.0049833749168,85.0,80,88.36549501247504,Safe
Bally Bridge,2023-08-18,34.090375,74.784955,8.0,6.0,8.0,172.0,5.0,1.0,193767.1311595211,576037.4703817832,yes,90.81333333333332,7.046998242674918e-83,72.5,74,58.22533333333333,Moderate
Babughat,2023-05-13,21.0455204,75.8010962,31.4333333,6.23636364,7.585,573.333333,4.73333333,3.14145,18.5714286,49.5714286,yes,85.44239556333333,98.15999577769044,76.79431819999999,75,86.48382059864046,Safe
Howrah Ghat,2023-02-08,22.8491137,69.329472,27.6666667,7.38,7.97666667,358.666667,1.89333333,0.21666667,676.666667,1510.0,yes,93.715555554,50.83085331727584,79.574999975,80,76.65047821178275,Safe
Howrah Ghat,2023-03-15,13.998209,77.572959,25.8,6.77454545,7.22545455,171.454545,1.0,0.09454545,761.818182,1600.0,yes,96.87648485666666,46.68168968645553,82.181818125,80,77.19146447360333,Safe
Babughat,2023-11-16,20.9501027,85.216816,25.6666667,7.53333333,7.875,152.5,1.525,0.63328583,701.666667,1256.66667,yes,95.93503800266669,49.57583507719738,81.10416665,75,76.96759905422589,Safe
Babughat,2023-04-11,15.574892,73.806667,26.9166667,6.0,5.9475,272.989,1.80833333,0.305,10.4545455,170.909091,no,94.61499889333334,98.95999133148624,72.10624999999999,75,89.4552469567792,Safe
Dakshineswar,2023-10-14,21.2513844,81.6296413,23.8,7.5,7.5,336.0,1.9,0.6,193767.1311595211,995.0,yes,93.62666666666668,7.046998242674918e-83,83.75,78,62.00066666666667,Moderate
